Energy,Zero Crossing Rate,F0,F2,Jitter,Shimmer,Band Energy Ratio,Pause Rate,Spectral Centroid,Spectral Bandwidth,Spectral Rolloff,Spectral Flux,Spectral Flatness,Emotion,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,Chroma_1,Chroma_2,Chroma_3,Chroma_4,Chroma_5,Chroma_6,Chroma_7,Chroma_8,Chroma_9,Chroma_10,Chroma_11,Chroma_12,Spectral_Contrast_1,Spectral_Contrast_2,Spectral_Contrast_3,Spectral_Contrast_4,Spectral_Contrast_5,Spectral_Contrast_6,Spectral_Contrast_7
0.041986194,0.10186767578125,1211.9507,745.79816,0.051415537,0.011950685,1797.0902797308727,7.117647058823529,1584.993071178776,1797.0902797308727,3218.5329861111113,2.0954206,0.02536777,angry,-306.0274,92.670235,8.491312,23.965403,7.4779925,-5.759456,-11.883088,-9.676736,-3.996747,-13.352565,0.40819755,-9.709486,-6.1271243,0.37491402,0.37949288,0.4172211,0.3901823,0.4148401,0.29778373,0.28898865,0.35755536,0.35190624,0.42918485,0.6879575,0.54549074,21.877362589682598,15.233390845222187,18.63693664828368,16.714029661950633,18.89369187729878,18.224082386961086,14.604480666584541
0.015996357,0.09306105522260275,1256.6172,889.8814,0.03935508,0.00456983,1794.0593431363172,29.681159420289855,1531.6504864446638,1794.0593431363172,3076.198630136986,1.6314688,0.025386438,disgust,-346.39963,95.83912,10.516283,31.619215,15.872088,-6.845447,-6.6299353,-4.9787273,-5.3106537,-10.283518,-2.5343666,-7.2553897,-6.1539063,0.4728988,0.47681955,0.33598948,0.34610757,0.36828643,0.30004203,0.31855056,0.32746008,0.35345685,0.53975016,0.7297387,0.518431,19.83045015007408,14.05893671189149,17.60303188845856,15.752573596133466,17.801305657938624,17.213798307282445,14.83961915714482
0.045776337,0.08428596047794118,992.5744,609.9955,0.043718852,0.013109444,1802.5534335798338,1.4375,1489.0888385250785,1802.5534335798338,3030.215992647059,1.6625346,0.01874602,fear,-321.42026,94.76091,8.155397,23.32324,11.719155,-7.116332,-8.534803,-4.9969654,-4.9943995,-13.70651,-3.3574135,-8.454173,-6.56194,0.32726723,0.39935037,0.35215592,0.38248017,0.33062878,0.33201632,0.37859333,0.4462577,0.42152488,0.56259054,0.6746664,0.35324967,21.525469855185836,14.88454374210006,18.161858790988976,16.111810303384917,18.462013508430154,16.96063672424914,14.897810362486783
0.042300183,0.0848781779661017,1102.953,658.75085,0.058762245,0.011537839,1808.2670053420907,16.8,1555.3760353597772,1808.2670053420907,3159.030720338983,1.9087017,0.01845587,happy,-303.30374,92.52889,4.231231,27.970133,10.869824,-11.878345,-10.095112,-7.149731,-7.6517596,-17.085901,-0.20102493,-8.867324,-9.357766,0.31508735,0.31478375,0.30918238,0.34237856,0.355682,0.4446093,0.35681447,0.2888965,0.33943993,0.5104739,0.7176173,0.44287905,21.017157983297498,16.770549489452137,17.78657441482918,15.719756605127287,19.22936846582496,17.731477422762946,14.610380490005493
0.020449637,0.08203125,1041.0936,727.3961,0.05411276,0.0047302884,1772.5703829264396,34.13333333333333,1495.3949975325982,1772.5703829264396,3087.158203125,1.8531687,0.02139983,neutral,-335.4959,100.39331,9.384935,30.160906,11.466775,-3.3336701,-8.350987,-9.757346,-6.079327,-12.109531,1.5376806,-9.795647,-3.4720602,0.41127053,0.36269414,0.33497667,0.3254735,0.30179715,0.2927215,0.32066524,0.35993102,0.39813712,0.61543065,0.6183602,0.473888,19.67128170094884,14.50987196980296,17.791213356777476,15.989592751785988,18.47257238358541,18.171643153492955,14.501907897613503
0.01245468,0.08702256944444445,1130.1064,636.2797,0.03817144,0.0034908913,1819.4555746438527,34.71186440677966,1513.7487791932801,1819.4555746438527,3101.686507936508,1.6004661,0.024820939,sad,-365.1856,97.09256,15.737349,34.221027,18.323439,-4.5814185,-6.3896394,-4.885024,-4.770392,-10.993267,-1.7111344,-8.973213,-5.3710847,0.39025754,0.35298696,0.3518375,0.39671353,0.32962745,0.25399914,0.323271,0.5074018,0.6106067,0.79339373,0.48644271,0.33015501,20.87817910591663,14.451263127739008,17.095616280030384,15.984342520881619,17.92251827840905,17.095291767681335,15.002325585689231
0.04982936,0.11688332479508197,1165.9744,900.69904,0.05806794,0.015325773,1811.5192305424039,8.035087719298245,1721.6150983003345,1811.5192305424039,3529.84118852459,1.938938,0.031873338,angry,-270.18033,92.64468,4.134922,10.847631,-8.362823,0.584376,-7.6005063,-11.471554,-4.9677124,-15.289151,6.5688624,-13.339166,-6.878928,0.3664026,0.4676272,0.37791833,0.40211928,0.3642342,0.28775436,0.21810837,0.28554195,0.37128764,0.5883913,0.5302912,0.35551393,23.65171696704977,16.205575970512847,18.2744909144585,17.70388542595012,18.15729747036469,20.172084527814604,14.31720296903843
0.016672034,0.07794471153846154,852.7107,584.351,0.03064816,0.004057713,1758.4287672931623,33.57377049180328,1382.3794098071148,1758.4287672931623,2940.985576923077,1.3655511,0.017464768,angry,-360.06622,109.193436,12.335656,22.731333,6.9428,1.8647588,-4.8600945,-5.740464,-3.9267452,-12.500737,2.2256699,-8.597422,-7.1583047,0.4556847,0.4733344,0.35493657,0.31808862,0.29398376,0.3318013,0.36694586,0.43533486,0.44516596,0.74791944,0.59204364,0.36046696,21.42613973297788,14.696424739076374,16.635846787075305,16.152267292569608,17.407536331880546,17.400282676224855,14.807226313226138
0.021257356,0.10023884600903614,883.3798,645.02356,0.052427646,0.00607862,1736.5189879908544,25.924050632911392,1519.6720183421348,1736.5189879908544,3147.8727409638554,1.7948853,0.021933068,angry,-333.49966,107.173935,10.298349,18.224262,0.75901747,2.795393,-5.992716,-13.538232,-3.927396,-11.00377,6.0223436,-13.519105,-6.353114,0.3571552,0.42626756,0.29523295,0.31230536,0.38480666,0.3503272,0.33087468,0.31958896,0.33502576,0.59606546,0.6592089,0.34388882,20.984759480161944,15.613334773634763,18.47831575076115,17.10623689169509,17.454933879839356,18.8818961755773,14.43636569533819
0.029184353,0.10757688492063493,1174.2506,985.4901,0.03869035,0.0090062935,1829.3755426480134,32.47457627118644,1653.0229711906454,1829.3755426480134,3569.3204365079364,1.5822855,0.0334886,disgust,-314.37982,94.22847,3.8098674,21.98912,-0.46367428,-0.96005595,-8.169247,-8.779709,-1.563271,-11.453568,2.1685424,-9.735218,-4.7711234,0.49169427,0.4883343,0.39319304,0.3317558,0.38783598,0.33591726,0.34478885,0.4290649,0.5353029,0.5355665,0.6057251,0.4805404,20.357261164083624,15.420519120767352,17.171981140220435,16.08930376723594,17.34676596027285,18.686365670537253,14.944013272189713
0.006507727,0.0780397445436508,871.9558,573.94403,0.022748247,0.0013651431,1832.6479776738252,34.71186440677966,1426.4514836682483,1832.6479776738252,3017.6091269841268,1.2175831,0.022491071,disgust,-402.623,106.913124,19.912289,18.792429,11.055608,5.017659,4.765215,-4.2692766,-8.404424,-8.153691,-0.47023243,-10.569258,-6.0254483,0.33765313,0.4942944,0.4332611,0.33319294,0.36077464,0.29275715,0.27147064,0.29939723,0.39827868,0.5436123,0.8144906,0.46108386,19.660964626288663,15.292184816881331,15.956057467204921,15.251511585954407,16.003353193236837,15.469077584746161,14.140840334220206
0.013138658,0.0937255859375,923.8278,574.03894,0.039290454,0.0034598182,1860.484116755474,36.57142857142857,1579.1570767747767,1860.484116755474,3361.5885416666665,1.501371,0.030893227,disgust,-359.12918,103.51354,16.054075,15.792935,7.0348787,3.865424,-2.5784392,-10.458014,-5.157211,-9.219247,2.8337538,-11.023622,-3.2522702,0.50108355,0.6533545,0.44374692,0.36931878,0.43612865,0.3492972,0.33746663,0.3880707,0.42145172,0.46790272,0.66220224,0.5275443,21.129005360881674,14.28669925999286,16.708916698336125,15.740939963634428,16.85797150801771,16.906916155449093,14.274849348821714
0.05800066,0.09765625,1246.3484,1025.6368,0.04265372,0.0167422,1766.7817335892564,4.956521739130435,1569.8910041129523,1766.7817335892564,3119.53125,1.6588762,0.026178854,fear,-282.05005,93.42165,1.9224167,12.549128,-1.2334517,-1.3849385,-6.2866783,-9.17527,-8.277506,-14.062583,3.5188053,-9.431789,-2.4112098,0.32656834,0.4777419,0.3790757,0.4052475,0.41722614,0.29367456,0.21753336,0.24800387,0.3509668,0.49979153,0.7093996,0.39229745,21.186208959235756,15.217393640814132,18.179194613998657,16.6284743880233,17.414587054000027,17.923893283681483,14.692731614983824
0.018541403,0.0987548828125,970.94415,598.97363,0.03620078,0.0051123025,1842.5111707452998,46.54545454545455,1573.9573474797787,1842.5111707452998,3212.2395833333335,1.483242,0.02758097,fear,-342.23886,100.36797,18.701796,17.385332,3.631138,3.8040402,-2.5764062,-10.176669,-8.347962,-11.221912,6.396547,-7.575192,-4.147126,0.4938198,0.5391597,0.37591025,0.42178366,0.35447297,0.34444273,0.25225404,0.3149804,0.3714182,0.6071929,0.5145664,0.42772636,21.315168590953903,14.189670461012328,17.360722820948144,16.198659948909903,16.922584016952,17.148305382523848,14.514224750041675
0.02942822,0.10362094056372549,1090.9321,864.0839,0.040334225,0.008653134,1830.353984347122,42.5531914893617,1601.1138074019354,1830.353984347122,3325.9803921568628,1.5836397,0.028790696,fear,-319.06622,98.451,11.072928,16.455578,-0.022970125,-0.19724876,-2.4655929,-8.625198,-7.4831033,-12.563644,3.4743977,-9.617585,-6.099115,0.34143487,0.47987926,0.4181056,0.38215312,0.35628036,0.26948717,0.21832182,0.23860498,0.32622746,0.5047637,0.66945094,0.41564196,21.903522811596876,15.131433807652588,16.500561506087827,16.428357992773737,17.06778992349076,17.532546068893534,15.268953445490965
0.067255676,0.13175746372767858,1315.0565,984.43713,0.0542001,0.022023695,1809.5211377930787,0.5384615384615384,1798.6584682744644,1809.5211377930787,3684.2912946428573,1.8051051,0.032960154,happy,-236.65141,82.38599,-10.377085,5.569654,-6.288114,-4.608174,-9.109257,-12.822047,-8.758861,-12.880167,4.710361,-10.659064,-7.208701,0.40352386,0.47422576,0.33429393,0.24461965,0.27571857,0.4583735,0.38040712,0.32255143,0.3073418,0.50395614,0.5002878,0.3193645,21.798196513564545,16.312084357708905,19.185936567400752,17.821382510871562,17.816243721019244,19.41867222887593,15.078777796915688
0.017724087,0.09016927083333333,836.3896,559.4422,0.03641118,0.005312054,1822.4872143657728,40.96,1506.3825203328558,1822.4872143657728,3287.037037037037,1.4626473,0.01969849,happy,-348.8115,102.54649,14.106908,22.103922,3.346115,6.19701,-4.945971,-10.076104,-6.466467,-11.836278,5.065985,-11.53402,-4.2940493,0.395729,0.42107978,0.37474632,0.422655,0.34135842,0.2910675,0.23637336,0.35292858,0.5070112,0.7090862,0.649535,0.37693188,21.196182353272455,15.181658328052308,18.281714046269897,16.088874470778073,16.835802794342026,18.089712588542543,14.094380039729973
0.026335077,0.09384212853773585,943.92017,762.83264,0.035576005,0.0077600717,1838.6317019783426,40.89795918367347,1575.5389409852687,1838.6317019783426,3319.870283018868,1.5493302,0.02288728,happy,-334.71375,99.00494,11.194511,18.256763,3.4368074,2.09463,-5.703311,-11.281712,-7.7738934,-10.699697,3.9705243,-9.426506,-5.390988,0.45478004,0.52757627,0.4275686,0.37117237,0.38387963,0.2876715,0.26563412,0.28173846,0.40334168,0.5482024,0.61934465,0.41423592,21.0034646263309,15.315568919171438,17.650487647336373,16.139522475781497,16.924511539116214,17.229597528574487,14.157622165639635
0.012202679,0.09468826593137254,861.42957,581.4787,0.033094388,0.0033871117,1880.3575978433864,43.57446808510638,1586.2609374350084,1880.3575978433864,3366.268382352941,1.4413525,0.026298232,neutral,-359.30594,100.2379,19.421568,21.467922,8.302713,3.2231543,-1.9934802,-9.003595,-6.835287,-8.121011,3.1189234,-12.005446,-1.6075193,0.38245746,0.43489543,0.37012565,0.31679162,0.36716238,0.29944354,0.23428006,0.31270856,0.41395324,0.47939906,0.6525592,0.44795462,19.945444489868652,14.671453341980891,17.355438511251478,15.26210932726416,17.68963995733945,17.8537583223955,15.008177526821287
